# C1_Time_[h],C1_mass_A_[g],C1_mass_B_[g],C2_Time_[h],C2_mass_A_[g],C2_mass_B_[g],C3_Time_[h],C3_mass_A_[g],C3_mass_B_[g],C4_Time_[h],C4_mass_A_[g],C4_mass_B_[g],C5_Time_[h],C5_mass_A_[g],C5_mass_B_[g]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0833333333333333,0.014148850651377,0,0.0833333333333333,0.00505447054416896,0,0.0833333333333333,0.00167642984301832,0,0.0833333333333333,0.0014831467930728,0,0.0833333333333333,0.00173431620808717,0
0.166666666666667,0.0828854189369021,0,0.166666666666667,0.0791495323480818,0,0.166666666666667,0.0214246418900013,0,0.166666666666667,0.043847355557204,0,0.166666666666667,0.0541147740015933,0
0.25,0.149348169011134,0,0.25,0.139998286582342,0,0.25,0.0926474652881454,0,0.25,0.120366624154929,0,0.25,0.112078699553878,0
0.333333333333333,0.192517495580773,0,0.333333333333333,0.207079654697967,0,0.333333333333333,0.16499434460046,0,0.333333333333333,0.186599990825435,0,0.333333333333333,0.178297137715593,0
0.416666666666667,0.204359809500079,0,0.416666666666667,0.267665869650143,0,0.416666666666667,0.229803641094274,0,0.416666666666667,0.179770059084613,0,0.416666666666667,0.244459537846766,0
0.5,0.211297215653941,0,0.5,0.334985587687326,0,0.5,0.29816629469222,0,0.5,0.186820082363867,0,0.5,0.154599872477781,0
0.583333333333333,0.229647806309242,0,0.583333333333333,0.191238621517784,0,0.583333333333333,0.19915363860789,0,0.583333333333333,0.206830150916768,0,0.583333333333333,0.175752499839391,0
0.666666666666667,0.250890251496732,0,0.666666666666667,0.209111959426011,0,0.666666666666667,0.221805354842901,0,0.666666666666667,0.228236031712372,0,0.666666666666667,0.200094930489364,0
0.75,0.264456129498135,0,0.75,0.227180310244714,0,0.75,0.245373086353636,0,0.75,0.253326788952408,0,0.75,0.218759879888991,0
0.833333333333333,0.302481144022089,0,0.833333333333333,0.246367184933431,0,0.833333333333333,0.265134585521729,0,0.833333333333333,0.277639938084295,0,0.833333333333333,0.244457200045775,0
0.916666666666667,0.32895107437803,0,0.916666666666667,0.265314693817145,0,0.916666666666667,0.288176886442987,0,0.916666666666667,0.300783158535304,0,0.916666666666667,0.25878651863351,0
1,0.355171072713284,0,1,0.286412524155751,0,1,0.29984464674307,0,1,0.317042740406639,0,1,0.280885935671868,0
1.08333333333333,0.373626967554243,0,1.08333333333333,0.296023137182377,0,1.08333333333333,0.322016459709248,0,1.08333333333333,0.334241864253348,0,1.08333333333333,0.271144345724169,0
1.16666666666667,0.379237938139025,0,1.16666666666667,0.300542180434314,0,1.16666666666667,0.314662908464081,0,1.16666666666667,0.325790733684677,0,1.16666666666667,0.290356971422379,0
1.25,0.408672777787124,0,1.25,0.311970849567946,0,1.25,0.334629760761662,0,1.25,0.354404871429538,0,1.25,0.312846022951737,0
1.33333333333333,0.401262395815229,0,1.33333333333333,0.333848436562137,0,1.33333333333333,0.350064000293807,0,1.33333333333333,0.37494005249224,0,1.33333333333333,0.31932211796017,0
