# C1_Time_[h],C1_mass_[g],C2_Time_[h],C2_mass_[g],C3_Time_[h],C3_mass_[g],C4_Time_[h],C4_mass_[g],C5_Time_[h],C5_mass_[g]
0,0,0,0,0,0,0,0,0,0
0.0833333333333333,0.000522701413320343,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0
0.166666666666667,0.00601050368056294,0.166666666666667,0.000868499533835276,0.166666666666667,0.000456707864521929,0.166666666666667,0.00184202847625949,0.166666666666667,0.00229647652054284
0.25,0.0132580803700796,0.25,0.0034476846461982,0.25,0.00432467113787761,0.25,0.00758701723470509,0.25,0.00674093990279863
0.333333333333333,0.0236031184510484,0.333333333333333,0.00969564690124793,0.333333333333333,0.00863513806249687,0.333333333333333,0.016418887245373,0.333333333333333,0.0175516276884289
0.416666666666667,0.0313578736862656,0.416666666666667,0.013078655008605,0.416666666666667,0.0184475569945551,0.416666666666667,0.0235680967613017,0.416666666666667,0.0271072082618715
0.5,0.0382451849453887,0.5,0.019326680782108,0.5,0.0265482578714289,0.5,0.0297472195545873,0.5,0.0276388956355208
0.583333333333333,0.0454035893004883,0.583333333333333,0.0217483917408597,0.583333333333333,0.0276428573633107,0.583333333333333,0.0382994348442601,0.583333333333333,0.03665263725385
0.666666666666667,0.0541592112324518,0.666666666666667,0.0287586590496218,0.666666666666667,0.0385403547220734,0.666666666666667,0.0479068917988146,0.666666666666667,0.0453349922400151
0.75,0.0638619623879007,0.75,0.0369077973796484,0.75,0.0441606007391687,0.75,0.0571987066236681,0.75,0.0558603503299312
0.833333333333333,0.0755561658635859,0.833333333333333,0.0433557217732474,0.833333333333333,0.055226126477788,0.833333333333333,0.0673416395050287,0.833333333333333,0.0674023089413215
0.916666666666667,0.0863978866941996,0.916666666666667,0.0479345304594494,0.916666666666667,0.0672809402340838,0.916666666666667,0.0788325753916177,0.916666666666667,0.0766596632380709
1,0.0959390278143936,1,0.060360783641423,1,0.0750864012731019,1,0.0871338062050817,1,0.0863905361087597
1.08333333333333,0.105547714805778,1.08333333333333,0.0664415796214848,1.08333333333333,0.0815546129670645,1.08333333333333,0.0961399727236209,1.08333333333333,0.0914846301005284
1.16666666666667,0.113893262558396,1.16666666666667,0.0721484351162071,1.16666666666667,0.0939408585645244,1.16666666666667,0.104692309544427,1.16666666666667,0.102780012438115
1.25,0.123531545282404,1.25,0.0836494654828932,1.25,0.104395438225013,1.25,0.113531467484088,1.25,0.112692440576901
1.33333333333333,0.128135276427212,1.33333333333333,0.0893655850282815,1.33333333333333,0.113152605635546,1.33333333333333,0.124116150635454,1.33333333333333,0.121645581828585
1.41666666666667,0.135822200028851,1.41666666666667,0.0978774795567679,1.41666666666667,0.120549258779646,1.41666666666667,0.131680059727749,1.41666666666667,0.130379506749872
1.5,0.14299485548538,1.5,0.105561679763764,1.5,0.132811972970609,1.5,0.140260983897812,1.5,0.138398174577019
1.58333333333333,0.151154181950397,1.58333333333333,0.116881687649151,1.58333333333333,0.142316680555737,1.58333333333333,0.149670597066784,1.58333333333333,0.145381733720944
1.66666666666667,0.157444747897767,1.66666666666667,0.121325198270467,1.66666666666667,0.147480681833282,1.66666666666667,0.157408522858671,1.66666666666667,0.155332992088134
1.75,0.166084559349526,1.75,0.130374336243884,1.75,0.159545713235089,1.75,0.166838118601919,1.75,0.16596340755529
1.83333333333333,0.175416833674088,1.83333333333333,0.141109665012231,1.83333333333333,0.168744133024153,1.83333333333333,0.174482620479217,1.83333333333333,0.17291614035436
1.91666666666667,0.180657523147712,1.91666666666667,0.15066983925247,1.91666666666667,0.173887285886359,1.91666666666667,0.183053121560691,1.91666666666667,0.181676687779956
2,0.187628467531408,2,0.154987237454662,2,0.185805532949938,2,0.19133075158721,2,0.188314282999886
2.08333333333333,0.194236202262214,2.08333333333333,0.165567202597675,2.08333333333333,0.191887120658435,2.08333333333333,0.199098944278791,2.08333333333333,0.195034343874137
2.16666666666667,0.200565014771201,2.16666666666667,0.170893988417629,2.16666666666667,0.200040289511048,2.16666666666667,0.204663679709567,2.16666666666667,0.200991760385345
2.25,0.207198679419909,2.25,0.175865028681747,2.25,0.205402924028816,2.25,0.212166837643117,2.25,0.207368049376481
2.33333333333333,0.213445186349152,2.33333333333333,0.186095565097796,2.33333333333333,0.213732272241002,2.33333333333333,0.220095192410591,2.33333333333333,0.21267664577241
2.41666666666667,0.219645555076663,2.41666666666667,0.190468592666668,2.41666666666667,0.214423139384209,2.41666666666667,0.223705575318604,2.41666666666667,0.216793639336996
2.5,0.220484036109517,2.5,0.192902463175062,2.5,0.219102366567113,2.5,0.228432409339862,2.5,0.221831619955148
2.58333333333333,0.223622146157944,2.58333333333333,0.201719968219431,2.58333333333333,0.220495328916004,2.58333333333333,0.232798888863794,2.58333333333333,0.227811533686525
2.66666666666667,0.228270770292235,2.66666666666667,0.204550637898742,2.66666666666667,0.226868023589411,2.66666666666667,0.237127967685731,2.66666666666667,0.230766589886077
2.75,0.23312715876129,2.75,0.208007057060285,2.75,0.233796675181411,2.75,0.2413814597897,2.75,0.234792919155068
2.83333333333333,0.237496230339223,2.83333333333333,0.211633816858116,2.83333333333333,0.23924324103587,2.83333333333333,0.246347756576244,2.83333333333333,0.239027817055688
2.91666666666667,0.240750938590169,2.91666666666667,0.217492902004433,2.91666666666667,0.243628134622302,2.91666666666667,0.24990626696157,2.91666666666667,0.244101059541843
3,0.245090117401204,3,0.220814241631393,3,0.244823784229563,3,0.253244702663301,3,0.247286767341935
