# Time in minutes, time in seconds, qty 5 for C1, C2, C3, C4, C5, and qty5 divided by 1.5(= length of box C) for C1, C2, C3, C4, C5
245,14700,1.727732,1.671680,1.646451,1.636404,1.626080,1.151821,1.114453,1.097634,1.090936,1.084054
250,15000,1.737655,1.683217,1.652884,1.638161,1.621761,1.158436,1.122144,1.101923,1.092107,1.081174
255,15300,1.748801,1.663674,1.662329,1.646559,1.613921,1.165868,1.109116,1.108219,1.097706,1.075948
260,15600,1.738837,1.652212,1.662359,1.658180,1.626882,1.159225,1.101475,1.108239,1.105454,1.084588
265,15900,1.733853,1.659201,1.637611,1.665844,1.631775,1.155902,1.106134,1.091741,1.110562,1.087850
270,16200,1.751179,1.671073,1.631758,1.651089,1.637362,1.167453,1.114049,1.087838,1.100726,1.091575
275,16500,1.764774,1.673591,1.637838,1.631569,1.638388,1.176516,1.115727,1.091892,1.087713,1.092259
280,16800,1.763067,1.680574,1.642459,1.632135,1.635062,1.175378,1.120383,1.094973,1.088090,1.090041
285,17100,1.773572,1.675573,1.656546,1.637416,1.638484,1.182381,1.117049,1.104364,1.091611,1.092323
290,17400,1.791834,1.688027,1.672720,1.649288,1.658872,1.194556,1.125351,1.115147,1.099525,1.105915
295,17700,1.795391,1.700606,1.677784,1.658074,1.654724,1.196927,1.133737,1.118522,1.105383,1.103149
300,18000,1.802741,1.702532,1.687487,1.670544,1.655104,1.201827,1.135021,1.124991,1.113696,1.103402
305,18300,1.795058,1.715648,1.690840,1.667388,1.664481,1.196706,1.143765,1.127227,1.111592,1.109654
310,18600,1.804228,1.721479,1.696280,1.668042,1.674323,1.202819,1.147652,1.130853,1.112028,1.116215
315,18900,1.806203,1.718475,1.699805,1.671768,1.694004,1.204135,1.145650,1.133203,1.114512,1.129336
320,19200,1.809393,1.714172,1.698205,1.664807,1.710193,1.206262,1.142781,1.132137,1.109871,1.140129
325,19500,1.808304,1.716923,1.696197,1.661697,1.712760,1.205536,1.144615,1.130798,1.107798,1.141840
330,19800,1.814635,1.719926,1.694771,1.667865,1.718802,1.209757,1.146618,1.129847,1.111910,1.145868
335,20100,1.822431,1.721220,1.693265,1.668142,1.724112,1.214954,1.147480,1.128843,1.112095,1.149408
360,21600,1.853739,1.730160,1.715784,1.653641,1.726544,1.235826,1.153440,1.143856,1.102427,1.151030
420,25200,1.533652,1.738777,1.722704,1.643894,1.732202,1.022435,1.159185,1.148469,1.095929,1.154801
480,28800,1.059923,1.833980,1.721470,1.651838,1.738434,0.706615,1.222653,1.147647,1.101226,1.158956
540,32400,1.037709,1.807687,1.765295,1.645292,1.754454,0.691806,1.205125,1.176863,1.096861,1.169636
600,36000,1.056925,1.176664,1.634970,1.460402,1.769395,0.704617,0.784442,1.089980,0.973602,1.179597
660,39600,1.114556,1.089538,1.050613,0.996136,1.596547,0.743037,0.726359,0.700409,0.664091,1.064364
720,43200,1.146698,1.122411,0.988601,0.908635,1.100106,0.764465,0.748274,0.659067,0.605756,0.733404
780,46800,1.216359,1.119556,0.956144,0.917535,0.962344,0.810906,0.746370,0.637429,0.611690,0.641563
840,50400,1.267361,1.095588,0.941251,0.931670,0.959861,0.844907,0.730392,0.627501,0.621114,0.639908
900,54000,1.276157,1.109242,0.968152,0.944299,0.979362,0.850771,0.739495,0.645435,0.629532,0.652908
960,57600,1.274003,1.134354,0.971779,0.941269,0.988353,0.849335,0.756236,0.647853,0.627513,0.658902
1020,61200,1.283822,1.142740,0.927029,0.958901,1.022668,0.855881,0.761827,0.618019,0.639267,0.681779
1080,64800,1.283012,1.146576,0.934176,0.918869,1.039740,0.855341,0.764384,0.622784,0.612579,0.693160
1140,68400,1.260604,1.173291,0.955928,0.927333,1.047617,0.840403,0.782194,0.637285,0.618222,0.698411
1200,72000,1.249265,1.184465,0.968825,0.932084,1.078283,0.832844,0.789643,0.645883,0.621390,0.718856
1260,75600,1.198729,1.166788,0.979328,0.924686,1.113615,0.799153,0.777858,0.652886,0.616457,0.742410
1320,79200,1.174937,1.155493,0.982155,0.971758,1.144425,0.783291,0.770329,0.654770,0.647839,0.762950
1380,82800,1.165357,1.185013,0.965160,0.991387,1.149712,0.776905,0.790009,0.643440,0.660924,0.766475
1440,86400,1.116025,1.156354,0.978553,0.990961,1.152623,0.744017,0.770902,0.652368,0.660640,0.768415
1500,90000,1.121781,1.142997,0.987455,0.994820,1.145176,0.747854,0.761998,0.658304,0.663214,0.763451
1560,93600,1.126843,1.149695,0.975623,1.031299,1.114356,0.751229,0.766464,0.650416,0.687532,0.742904
1620,97200,1.097928,1.165752,0.934154,0.979505,1.118590,0.731952,0.777168,0.622769,0.653003,0.745727
1680,100800,1.060577,1.129215,0.929246,0.968132,1.090221,0.707052,0.752810,0.619498,0.645421,0.726814
1740,104400,1.056894,1.113072,0.921230,0.965456,1.079299,0.704596,0.742048,0.614153,0.643638,0.719532
1800,108000,1.050457,1.063183,0.922495,0.929802,1.080089,0.700304,0.708789,0.614997,0.619868,0.720059
1860,111600,1.005543,1.068465,0.881554,0.906032,1.063016,0.670362,0.712310,0.587703,0.604021,0.708677
1920,115200,1.003062,1.020405,0.870994,0.886130,1.047521,0.668708,0.680270,0.580662,0.590753,0.698347
1980,118800,0.965141,0.978221,0.873278,0.868529,1.017168,0.643428,0.652147,0.582185,0.579019,0.678112
2040,122400,0.938446,0.968969,0.860342,0.844177,0.965242,0.625631,0.645979,0.573562,0.562785,0.643495
2100,126000,0.883923,0.881400,0.814728,0.845359,0.947922,0.589282,0.587600,0.543152,0.563573,0.631948
2160,129600,0.859613,0.808427,0.788410,0.823571,0.868761,0.573075,0.538951,0.525607,0.549047,0.579174
2220,133200,0.841671,0.793102,0.749443,0.816520,0.806511,0.561114,0.528735,0.499629,0.544347,0.537674
2280,136800,0.815766,0.737831,0.722018,0.799487,0.788346,0.543844,0.491887,0.481345,0.532991,0.525564
2340,140400,0.796437,0.720634,0.689618,0.741618,0.762000,0.530958,0.480422,0.459745,0.494412,0.508000
2400,144000,0.777454,0.693352,0.660356,0.732583,0.741077,0.518302,0.462235,0.440238,0.488388,0.494051
